Question,Answer
What is the checkin and checkout time,"The checkin time is 300 pm, and the checkout time is 1200 pm"
Is breakfast also included,"Yes, breakfast is included and it is served from 930 am to 1030 am"
Perfect Can I have the address and the telephone number of the hotel,"Certainly The address of the hotel is 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The telephone number of the front desk is 1234567789"
Great When should I make the payment,"You can make the payment at checkin time If you have any additional queries, dont hesitate to contact us"
,
,
,
"Good morning, I would like to book a room","Good morning Welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden How may I help you"
I would like to book a room What kind of rooms do you have,"We have several types of rooms available We have comfort standard rooms for 108rmb, comfort single rooms for 108rmb, business duplex standard rooms for 108rmb, business duplex king rooms for 108rmb, executive business standard king rooms for 128rmb, fashionable smart standard rooms for 158rmb, fashionable smart king rooms for 158rmb, leisure duplex chess rooms for 200rmb, and diversified smart film rooms for 400rmb"
"Okay, Im looking for a business duplex king room","Yes, we do have those They are 108rmb a night Would you like to book one now"
"Yes, please What other amenities do you have available","We have several amenities available for our guests We offer breakfast from 930am1030am We also have a gym and a wifi connection in all rooms, the password being the room number There is nearby access to a supermarket, cinema and market All of our rooms also come equipped with an air conditioner, washing machine, hairdryer, television, and electric kettle We also offer free parking near the hotel"
"Thats great Id like to book the room, please",Certainly Our check in time is at 300 pm and our check out time is at 1200 pm Is that okay
"Yes, that is perfectly fine",Great Please provide your contact information and a credit card number in order to complete your booking
"Hello, I am interested in staying at the Lihao Hotel","Hi there Thank you for your interest in the Lihao Hotel We offer a variety of room types that may suit your needs We offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room Prices range from 108rmb to 400rmb"
Do you have a room with a balcony,"Yes, we do We have a Fashionable Smart King Room that offers a balcony with a view Its priced at 158rmb"
Are there any other amenities in the hotel,"Yes We offer a breakfast from 930am to 1030am We also provide a gym for our guests, which is free of charge We also provide WiFi, with the password being the room number Theres also a supermarket, cinema, and market nearby that you can visit during your stay with us We also have an air conditioner, washing machine, hair dryer, television, and electric kettle in each room And we provide free parking near the hotel as well"
Does the hotel offer any discounts,"Yes we do We offer discounts for certain room types For example, for the Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, and Executive Business Standard King Room, we offer a 5 discount  For the Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Leisure Duplex Chess Room we offer a 10 discount Lastly, for theDiversified Smart Film Room, we offer a 20 discount"
Does the hotel accept credit cards,"Yes, we do We accept all major credit cards"
Does the hotel accept credit cards,"Certainly Lihao Hotel is a fourstar hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer ten different types of rooms which are all equipped with a variety of amenities such as air conditioner, washing machine, hair dryer, television and electric kettle In addition public parking is available near the hotel Breakfast is served from 930 am to 1030 am every day and a gym is also available for guests WiFi is available too with the password being the room number"
Thank you very much What are the room types and the corresponding prices,"We offer the following room types  Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb and Diversified Smart Film Rom400rmb"
What is the checkin and checkout time,Sure Our checkin time is 300 PM and check out time is 1200 PM Is there anything else I can help you with
Last thing Is there nearby amenities,"Yes, there are We have a supermarket, cinema, and market nearby Do you have more questions"
"Good morning, I am looking for a room to stay in Lihao Hotel","Hello, Welcome to Lihao Hotel Our Hotel is located at 186 Zhuluo East Road, just next to the fruit market and across from Futian Garden We have a several room types available, depending on the type of stay you are looking for We offer Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Rom 400rmb"
Can you tell me a little bit more about the amenities available with the hotel,"Of course, we do have several amenities available We have breakfast available daily from 930am to 1030am We have a gym available for our guests use We also have WiFi with the same password as the room number Nearby, we have several amenities such as a supermarket, cinema, and market In addition, we also offer air conditioning, a washing machine, hairdryer, television and electric kettle Lastly, we also offer free parking for our guests near the hotel"
That sounds great Is there any discount available for long term stay,"Yes, we do have discounts for long term stay If you stay for a week, you get 10 off the total cost This is applicable for standard checkins only For longer stays such as a month, you can get a 20 discount on the total cost You just need to present valid identity documents when you check in"
"Hello, Id like to book a room at Lihao Hotel Could you give me more information about the hotel and room options","Of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm We have 10 different room types available Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom All rooms come with a variety of amenities such as an air conditioner, washing machine, hair dryer, television, and electric kettle The breakfast is from 930 am to 1030 am, and free parking is available near the hotel There is also a gym available for our guests In addition, there is WiFi available in all our rooms, with the password being the room number Plus, there are many nearby amenities such as a supermarket, cinema, and market"
That sounds great What would be the rate for each of the room types,"The Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb"
Thats very reasonable Do you have any discounts available,"Yes, we do We offer 10 and 15 discounts for group bookings We also offer discounts for seniors, military personnel, and students Please let us know if this applies to you and we will be glad to offer you the discounted rates In addition, if you book for a minimum of 7 nights, you qualify for a free night "
Id like to book the Business Duplex King Room Could you confirm if the room has all the amenities mentioned above,"Yes, of course All our rooms have the mentioned amenities, so you will have access to them during your stay at Lihao Hotel Is there anything else I can help you with"
"No, thats all for now, thank you for your help",Youre welcome Is there a particular date and time youd like to book the room We look forward to welcoming you to Lihao Hotel Have a wonderful day
"Hi, I would like to make a new reservation","Hi, welcome to Lihao Hotel How can I help you"
I would like to book a room for two nights,"Sure, what kind of room would you like to book We offer a variety of room types, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
I think the Comfort Standard Room will do What are the prices of the rooms,The Comfort Standard Room will cost 108 RMB per night
What other facilities do you offer with the room,"Sure, we provide free WiFi, air conditioning, washing machine, hair dryer, television, electric kettle, and free parking facilities We also have a gym and a breakfast buffet from 930 am to 1030 am There are also plenty of nearby amenities, such as a supermarket, cinema, and market"
Great Can you tell me about the checkin and checkout times for the hotel,"Sure, the checkin time is from 3 pm and checkout time is 12 pm The WiFi password will be the same as your room number Is there anything else I can help you with"
"No, thats all That sounds great I look forward to staying at your hotel",Great We look forward to having you Please let us know if you have any questions or needs Have a nice day
"Hello, I was wondering if you have any rooms available for tonight","Absolutely, I have many great options for you Our Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have checkin time from 300 pm and checkout time at 1200 pm"
That sounds great Could you tell me what types of rooms you offer,"Sure Our room types include Comfort Standard Room at 108rmb, Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Leisure Duplex Chess Room at 200rmb and Diversified Smart Film Room at 400rmb"
"Are breakfast, fitness center and WiFi included in the price","Yes, breakfast is served at 930 am to 1030 am and our gym is available for guests WiFi is also available, and our password is your room number"
"Are there any nearby amenities like a supermarket, cinema, or market","Yes, theres a supermarket, cinema, and market near the hotel"
"Do the rooms have air conditioner, washing machine, hair dryer, television, and electric kettle","Yes, the rooms have all these amenities"
Is there free parking available,"Yes, we have free parking available near the hotel"
"Great, that sounds perfect Id like to book a room for tonight",No problem You can book through our website or give us a call at 1234567789 Were looking forward to having you stay with us
Hello Im looking to make a reservation at Lihao Hotel Could you please provide me with more information,"Sure, Id be happy to help Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of room types available, including Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms, and more Checkin is at 300 pm and checkout is at 1200 pm"
Thats wonderful Do you have any other facilities,"Yes We have a range of amenities, such as free WiFi available with the password being the room number, an onsite gym, an air conditioner, washing machine, hair dryer, television, and electric kettle in every room Additionally, there is free parking available nearby and there are a number of supermarkets, cinemas, and markets in the area"
Perfect I think Id like to book one of the Fashionable Smart King Rooms Whats the price of that,The Fashionable Smart King Room is 158rmb per night Please contact the front desk at 1234567789 with any further queries Do you have any other questions
"No, thats all Thanks for your help",Youre welcome Have a great day
"Hello, Im looking to make a booking at the Lihao Hotel","Hi, how can I help you"
"Id like to book a Comfort Single Room for one night, this Saturday","Of course, let me take a look at our availability Is it just you or are you bringing any family members or friends"
It just me,"Alright, so Ive checked our availability and I see that we have one Comfort Single Room available this Saturday for 108rmb Is that acceptable"
"Yes, that sounds perfect",Great Can I get some of your details such as your name and address
"Sure, my name is Name and my address is Address","Alright, so Ive got all the details I need Our checkin time is 300 pm and checkout time is 1200 pm Are you aware of our amenities such as WiFi, breakfast, gym and air conditioning"
"Yes, Im familiar with them","Wonderful The WiFi password is the same as your room number and breakfast is available between 930am and 1030am We also have free parking nearby and other amenities such as a supermarket, cinema, and market Is there anything else I can help you with"
"What about a hair dryer, electric kettle and television in the room","Yes, all those are provided in the Comfort Single Room Is there anything else I can help you with"
"No, thatll be all","No problem Ill send you a confirmation email to confirm your reservation and look forward to welcoming you to the Lihao Hotel Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden If you have any other questions, please dont hesitate to contact us at 1234567789 Have a great day"
Hi I would like to make a reservation,Hi Welcome to Lihao Hotel How can I help you
I would like to check in tomorrow afternoon at 3pm,"Sure, no problem We have several room types available We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb May I know the type of room you would like to book"
Id like the Comfort Standard Room,"Sure, let me book it for you For your convenience, the room is equipped with an air conditioner, washing machine, hair dryer, television, and electric kettle Is there anything else you need"
Do you provide WiFi in the room,"Yes, we do The WiFi is available in the room and the password is the same as the room number"
"Great, thats all I need then Do you have free parking available near the hotel","Yes, we do have free parking nearby We also have a gym, supermarket, cinema and market near our hotel Is there anything else I can do for you"
"Hi, Im interested in booking a room at the Lihao Hotel",Hi there How can I help you
What types of rooms do you have available,"We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and  Diversified Smart Film Rom400rmb available"
What Amenities do they offer,"All of our rooms include air conditioning, washing machine, hair dryer, television, electric kettle and free wifi, with the password being the room number In addition, we also have a gym and a breakfast that runs from 930am to 1030am Plus, there are plenty of amenities nearby, such as a supermarket, cinema, and market"
Does the hotel offer any free parking,"Yes, we do have free parking available near the hotel"
Okay great What are your checkincheckout times,The checkin time is 300 pm and the checkout time is 1200 pm
Perfect And what is your location and telephone number,"We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our front desk telephone number is 1234567789"
"Great, thank you for your help I think Im going to book a room","Wonderful We look forward to seeing you If you have any additional questions, please dont hesitate to let me know"
"Hi, Im looking for a room to stay, can you help me","Sure, I can help you What type of room would you like We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb and Diversified Smart Film Room400rmb"
I would like an Executive Business Standard King Room,"Ok, the Executive Business Standard King Room costs 128rmb per night I also suggest you take a look at our other room types Do you have any other requirements"
"Yes, I would like to know what amenities I can have with the room","You can have an air conditioner, washing machine, hair dryer, television, electric kettle, free WiFi with the password being the room number and free parking"
Is breakfast also included,"Yes, breakfast is included and it is served from 930 am to 1030 am We also have a gym available for guests Are you interested in taking a look at the room"
"Yes, I would like to see it","Sure, we would be happy to show you the room We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm You can also contact us at 1234567789 for more information"
Hello,Welcome to Lihao Hotel How may I help you
"Hi, Im interested in booking a room Can you tell me what types of rooms you have available and how much they cost","Sure We have several different types of guest rooms available Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Rom 400rmb"
Nice What other amenities does the hotel offer,"We have a number of great amenities to make your stay even more pleasant We offer free breakfast from 930 am to 1030 am We also have a gym available for our guests and free wifi throughout the hotel The password for the wifi is your room number Additionally, there is a supermarket, cinema, and market nearby as well We have air conditioning, a washing machine, a hair dryer, a television, and an electric kettle in each room Lastly, we offer free parking for our guests near the hotel"
"Hello, can I please book a room at the Lihao Hotel","Sure, wed love to have you What type of room would you like to book We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms"
"I would like the Comfort Standard Room, please","Sure, the Comfort Standard Room is priced at 108rmb Can I have your details for verifying ID"
Sure My name is John Doe and my ID number is 1114XXXX,"Okay, thank you Now, what time would you like to check in and check out"
Id like to check in today at 3 pm and check out tomorrow at 12 pm,"Perfect Is there anything else you need to know We have WiFi, air conditioners, washing machines, hair dryers, televisions, electric kettles and complimentary breakfast from 930 am to 1030 am We also have a gym and free parking nearby"
"That sounds great, thank you Do you provide any information about nearby amenities","Of course There is a supermarket, cinema and market, all within walking distance of the hotel"
"Hello, I would like to inquire about a room at your hotel Can you please tell me what you offer","Sure We are Lihao Hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We provide a range of room types from Comfort Standard Room to Leisure Duplex Chess Room, at prices ranging from 108rmb to 400rmb We also provide free WiFi  with the password being the room number and free parking near the hotel All of our rooms have air conditioning, washing machine, hair dryer, television, and electric kettle Breakfast is provided from 930 am to 1030 am, and our gym is also available for guests"
That sounds great Can you provide me with the checkin and checkout times,Sure Checkin is at 300 pm and checkout is at 1200 pm Is there anything else I can help you with
"I think that covers everything One last question, do you also provide other amenities nearby like supermarkets, cinemas, and markets","Yes, we are located near supermarkets, a cinema, and a market"
Good afternoon I want to reserve a room at Lihao Hotel,"Good afternoon Its great to hear that you would like to reserve a room at Lihao Hotel Could you tell me which room type you are interested in We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Room"
I was interested in the Comfort Standard Room,OK That costs 108rmb per night May I take your name and your checkin date
My name is Samuel Johnson and Id like to check in tomorrow,"Alright, I have booked the Comfort Standard Room for tomorrow for you, Mr Samuel Johnson Our checkin time starts from 3 pm to 12 pm The hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Are there any other questions I can help you with"
Yes Are there any amenities included with the room,"Yes, absolutely We provide free WiFi with the password being the room number, air conditioning, washing machine, hair dryer, television and an electric kettle Also, we have a breakfast service from 930 am to 1030 am and a gym available for guests You can also find a supermarket, cinema and market just around the hotel As for parking, we provide free parking near the hotel"
Hi Good morning I have a few quick questions about Lihao Hotel,Good morning How can I help you today
What are the checkin and checkout times at Lihao Hotel,The checkin time is 300 pm and checkout is 1200 pm
What are the room types and their associated rates,We offer the following room types and their associated rates
What amenities are in the room,"Rooms are equipped with air conditioner, washing machine, hair dryer, television, electric kettle"
What time is breakfast served,Breakfast is served daily from 930 am to 1030 am
Is there a gym and WiFi available,"Yes, we have a gym and WiFi available The WiFi password is the same as the room number"
Are there any nearby amenities,"Yes, we are located next to a fruit market and across from Futian Garden There is also a supermarket, cinema, and market nearby"
Is there free parking near the hotel,"Yes, there is free parking available near the hotel"
"Hi, Id like to book a room at Lihao Hotel Can you tell me more about the available rooms","Sure, we have 10 different types of rooms you can choose from Our Comfort Standard Room is priced at 108rmb, Comfort Single Room is also priced at 108rmb, and so on You will find all the room descriptions and prices on our website Do you have any preferences for the size or amenities of the room"
"Yes, I need a room with an air conditioner, washing machine, hair dryer, television, and an electric kettle Also, is there any free parking available near the hotel","Yes, we do have rooms with all of those amenities The Fashionable Smart Standard Room and Fashionable Smart King Room are both priced at 158rmb and they both offer the amenities you requested As for the free parking, yes, it is available near the hotel by our main entrance"
"Ok, that sounds great What are the checkin and checkout times",The checkin time is 300 pm and the checkout time is 1200 pm We suggest that you arrive at least 15 minutes before checkin time to ensure that everything is ready for you
Do you offer any additional amenities such as breakfast or a gym,"Yes, we do have a complimentary breakfast that is served from 930 am to 1030 am And we also have a gym that is free for guests to use Additionally, we provide free WiFi with the password being the room number Are there any other nearby amenities that youre interested in"
"Yes, is there a supermarket, cinema, andor market nearby","Yes, there is a supermarket, cinema, and market all within walking distance of the hotel We hope that you enjoy your stay with us Is there anything else I can help you with"
"Hi there, I was hoping to reserve a room at your hotel  Lihao Hotel",Hi there Were delighted to hear from you You are welcome to make a reservation  what kind of room were you thinking of
Im looking for something comfortable and moderately priced Do you have anything that would fit within my budget,"Yes, of course We have Comfort Standard Rooms for 108rmb, Comfort Single rooms for 108rmb, Business Duplex Standard Rooms for 108 rmb, Business Duplex King Rooms for 108 rmb, Executive Business Standard King Rooms for 128 rmb, Fashionable Smart Standard Rooms for 158 rmb, Fashionable Smart King Rooms for 158 rmb, Leisure Duplex Chess Rooms for 200 rmb, Diversified Smart Film Rooms for 400 rmb"
Thats great Do you have a haircut dryer and washing machine in the room,"Yes, we provide hairdryers, televisions, electric kettles and washing machines in each room"
Perfect What is the checkin and out time,Checkin time is 3 pm and checkout is 12 pm Any special requests can be made at the front desk or by calling us at 1234567789
"Also, do you offer free parking service","Yes, we do offer free parking The spots are located near the hotel"
"Lastly, is there anything nearby such as a supermarket or cinema","Yes, there are supermarkets, cinemas and markets all within walking distance from the hotel We offer a variety of amenities for our guests"
"Hi, I would like to inquire about the availability of your Lihao Hotel","Hi, thank you for your interest in Lihao Hotel We would be delighted to help you Our hotel is conveniently located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer the following types of rooms Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room and Diversified Smart Film Room Do you have any questions"
What time is checkin and checkout And do you provide any amenities,"Checkin time is 300 pm, while checkout time is 1200 pm We provide various amenities such as free parking nearby, gym access, WiFi connection with a password that is the room number, and Air Conditioner, washing machine, hair dryer, television and electric kettle We also provide a complimentary breakfast from 930 am to 1030 am Nearby amenities include supermarkets, cinemas, and markets"
"Good morning, Im interested in booking a room at the Lihao Hotel Could you tell me a little more information about the hotel and its amenities","Good morning and thank you for your interest in booking a room at Lihao Hotel We are located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm We offer a variety of room types, such as Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room, ranging in cost from 108rmb to 400rmb a night"
I understand that the hotel provides air conditioning and a hair dryer Do you offer any other amenities,"Yes, we do offer other amenities for our customers  We provide WiFi password is the room number, washing machine, television, electric kettle, free parking near the hotel, a gym, and breakfast from 930 am to 1030 am We are also close to a supermarket, cinema, and local market Is there anything else I can help you with"
Hello,Hi Thank you for contacting Lihao Hotel How may I help you today
I would like to book a room for one night,"Alright, sure We are offering a Comfort Standard Room at 108rmb Would you like to book that or hear about other available room types"
Sure What other rooms do you have,"Apart from the Comfort Standard Room at 108rmb, we are also offering Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Leisure Duplex Chess Room at 200rmb, and Diversified Smart Film Room at 400rmb"
I would like to book the Leisure Duplex Chess Room,Wonderful Can I get your contact details to book your reservation
Sure Can you tell me what other amenities the hotel offers,"Absolutely Our hotel provides complimentary breakfast between 930 am to 1030 am, a gym facility open to our guests, free WiFi with the password being the room number, supermarket, cinema, market, air conditioner, washing machine, hair dryer, television and electric kettle We also have free parking available near the hotel"
Sounds great I will take the Leisure Duplex Chess Room and provide you with my contact details,Perfect Please proceed to provide me your contact details and I will book your reservation for the Leisure Duplex Chess Room
"Hi, Im interested in booking a room at the Lihao Hotel","Hi, Thanks for getting in touch Im glad to hear that youre interested in booking a room with us What type of room would you like to book"
I would like to book a Comfort Standard Room,Sure I can book a Comfort Standard Room for you It comes with a rate of 108rmb Can I have your name for the booking
"Yes, my name is John Smith","Alright, I have booked the room for you The Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The checkin time is 300 pm and checkout time is 1200 pm We also offer breakfast from 930 am to 1030 am"
"Great Are there any nearby amenities like a supermarket, cinema or market","Yes, there is plenty of amenities nearby, including a supermarket, cinema, and market"
"Are there any other facilities like a gym, WiFi, air conditioning, washing machine, hair dryer, television, electric kettle, and free parking","Yes, we do offer a gym, WiFi with the password being the room number, air conditioning, washing machine, hair dryer, television, and electric kettle We also have free parking available near the hotel"
That sounds great Do you have the telephone number of the front desk,"Sure, the telephone number of the front desk is 1234567789 You can call them anytime for assistance"
Good morning I want to book accommodation at your Lihao Hotel,Good morning How can I help you today
I need to book a room at your Lihao Hotel Could you please tell me what options are available,"Sure We have a variety of room types with different prices We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb"
I would like to book a Comfort Standard Room,"Great, a Comfort Standard Room is available for 108rmb per night You also have the option to upgrade to different room types with additional amenities at higher prices"
Thats fine Could you tell me more about the hotel,"Sure Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer breakfast from 930 am to 1030 am, and we have a gym available for guests WiFi is also available, with the password being the room number Nearby, you can find a supermarket, cinema, and market There is free parking near the hotel All rooms come equipped with an air conditioner, washing machine, hair dryer, television, and electric kettle Checkin time is 300 pm and checkout time is 1200 pm"
That sounds great Ill book the Comfort Standard Room then,Perfect I just need you to provide some information and I can reserve the room for you
"Good afternoon, may I please speak with the front desk","Good afternoon, this is Lihao Hotel front desk, how can I help you"
"Yes, Id like to book a room for two guests for this coming weekend Can you please tell me about the room types that you have available","Sure, we have a variety of room types for you to choose from Our Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 128rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb  Would you like to book any of these rooms"
"Yes, Id like to book the Business Duplex King Room for this weekend Do you have any other amenities that I can take advantage of","Yes, we have free WiFi available with the password being the room number We also have an available gym and supermarket, cinema and market nearby Additionally, we provide air conditioning, a washing machine, a hair dryer, a television, and an electric kettle in all of our rooms Breakfast is also available from 930 am to 1030 am Lastly, we offer free parking near the hotel as well"
Thats great What time is checkin,Checkin is at 300 pm and checkout is at 1200 pm Would you like to book now
"Yes, please How can I make the payment","You can make the payment with a credit or debit card, or you can make an online payment Once the payment is completed, youll receive a confirmation email with your booking details"
Thats great How do I get to your hotel from the nearest train station,"We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The best way to get here is to take the bus from the train station to our hotel The bus numbers are 105 and 313"
"Thank you so much, Ill book now and Ill see you this weekend",Thank you for choosing to stay at Lihao Hotel We look forward to welcoming you soon
"Hi, I am looking to book a room at Lihao Hotel",Hi Welcome to Lihao Hotel What type of room are you looking for and what dates would you like to stay with us
Id like to stay at Comfort Single Room from June 3rd to June 8th,"Okay, I have that available The total cost for the Comfort Single Room will be 108 per night Breakfast is available from 930 am to 1030 am, and the checkin time is 300 pm and checkout time is 1200 pm WiFi is available with the password being the room number Amenities nearby include supermarkets, cinemas, and a market Are there any other facilities that you are looking for"
Is there a gym and free parking available at the hotel,"Yes, there is a gym, and free parking is available near the hotel Also, all the rooms are airconditioned, equipped with a washing machine, a hair dryer, a television, and an electric kettle Does that answer all your questions"
"Yes, that looks great How do I go about making the payment","You can make the payment with a credit card or debit card online You may also call us at 1234567789 to make the payment over the phone, if preferred"
Hi I would like to book a room for tonight,"Sure thing We have a few rooms available What kind of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room available"
What is the price of a Comfort Standard Room,The Comfort Standard Room is 108rmb per night Are you interested in booking it
"Yes, I would like to book the Comfort Standard Room","Great Now, I just need to ask a few more questions regarding your stay Are you coming alone, or with another guest"
I am coming alone,Alright What is the estimated time of arrival
Ill be arriving around 3pm,Perfect Our checkin time is from 300pm Will you be checking out tomorrow or would you like to extend your stay
Id like to check out tomorrow,No problem Check out time is at 1200pm Is there anything else I can help you with
"Yes, I wanted to ask about the amenities that are available Are there any free parking spots near the hotel and do you have a gym available for guests to use","Yes, we do have free parking available near the hotel, perfect for those short shopping trips or day trips As for the gym, yes, we do have gym facilities for our guests to use Additionally, there is a supermarket, cinema, and market all located near the hotel We also provide air conditioning, washing machine, hairdryer, television and electric kettle in all of our rooms, and free WiFi with the password being your room number Lastly, our hotel also provides complimentary breakfast from 930 am to 1030 am"
That sounds great I think Ill go ahead and book the Comfort Standard Room then,"Perfect Please provide me with your name, contact information, and a form of payment, and I will proceed with booking the room for you Thank you for choosing Lihao Hotel, we look forward to see you"
"Hi, Im looking for a hotel to stay in","Hi, can I help you"
