Question,Answer,Question class
"Excellent, Ill take it","Wonderful Can I have your information, please",1
Sure  The name is John Smith and the address is ABC street,"Great Let me just confirm the details of your reservation Youre booking a Comfort Standard Room for two nights, checkin is at 3 pm and checkout at 12 pm for a total of 216 rmb Is this correct",3
"Yes, thats correct","Okay, Ill go ahead and reserve this for you Thank you for choosing Lihao Hotel Is there anything else I can help you with",1
"Hi, Id like to know whether Lihao Hotel has any available rooms for this afternoon","Hi, thank you for choosing Lihao Hotel Yes, we do have rooms available for this afternoon We offer various room types Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb Please let me know which one do you prefer so I can check the availability and make a reservation",1
Could I have a Comfort Single Room please,"Of course, the Comfort Single Room is available for this afternoon It is priced at 108rmb per night",4
"Okay, that sounds great I would also like to know what amenities come with the room","Sure, each room has an air condiitioner, a washing machine, a hair dryer, a television, an electric kettle In addition, the hotel provides free WiFi with the password being the room number There is also free parking near the hotel and a gym which is available for guests For breakfast, it is served from 930 am to 1030 am Also, there are supermarkets, cinema, and a market nearby",4
Is there anything else I need to know about the hotel,"Yes, the checkin time is 300 pm and the checkout time is 1200 pm The front desk telephone number is 1234567789 Please feel free to contact us if you need any assistance or have any questions",1
Hi I am looking for a room in Lihao Hotel Can you tell me more about your rooms,"Sure We have various types of rooms available at Lihao Hotel We offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room All the rooms have air conditioners, washing machines, hair dryers, televisions, and electric kettles",1
What are the rates for these rooms,"Our room rates vary from 108rmb for Comfort Standard Room, Comfort Single Room and Business Duplex Standard Room to 400rmb for Diversified Smart Film Room",4
Do you have any other amenities,"Sure, we have many other amenities available at Lihao Hotel We offer free parking near the hotel, a gym for our guests, WiFi access with the password being the room number and various nearby amenities such as a supermarket, cinema, and market Breakfast is also provided from 930 am to 1030 am",4
What is the checkin and checkout time,The checkin time is 300 pm and the checkout time is 1200 pm,4
Where is Lihao Hotel located,"Lihao hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",4
"Hi, Im thinking about staying in your Lihao Hotel Can you tell me more about it","Of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several different room types, each of which has its own features Our Comfort Standard Room is 108RMB, Comfort Single Room is 108RMB, Business Duplex Standard Room is 108RMB, Business Duplex King Room is 108RMB, Executive Business Standard King Room is 128RMB, Fashionable Smart Standard Room is 158RMB, Fashionable Smart King Room is 158RMB, Leisure Duplex Chess Room is 200RMB, Leisure Duplex Chess Room is 200RMB, and Diversified Smart Film Room is 400RMB",4
What other amenities are available at Lihao Hotel,"We offer a wide range of amenities and services to ensure you have a comfortable stay Breakfast is served from 930am to 1030am We also have a gym available for our guests, as well as free WiFi with the password being the room number Other nearby amenities include a supermarket, cinema, and market Your room will also come with an air conditioner, washing machine, hair dryer, television, and electric kettle Plus, there is free parking available near the hotel",3
That sounds great When is checkin and checkout,"Checkin is at 3pm, and checkout is at 12pm",1
Perfect I think Im ready to book,Great Just give me a call on 1234567789 and Ill help you with the booking right away Thank you for choosing Lihao Hotel We look forward to seeing you soon,1
Good day I would like to book a room,"Hello, welcome to Lihao Hotel How can I help you today",1
I would like to book a comfort standard room for two people,"Sure, I can help you with that The comfort standard room is 108rmb per night Are you checking in today",1
"Yes, if possible","Sure, our checkin time is 300 pm today Where shall I send our room confirmation",1
It can be sent to my email,"Great, what is your email address",4
My email address is abcgmailcom,Perfect Ill send you an email with the confirmation May I ask if you need any other hotel services during your stay,4
"Yes, I would like to know what are the amenities available within the hotel itself","Sure Our hotel amenities include free WiFi with the password being the room number, an onsite gym for guests, and a garage for free parking nearby We also have air conditioner, washing machine, hair dryer, television, and electric kettle in each room Breakfast is served between 930 am to 1030 am Additionally, there are supermarkets, cinemas, and markets near our hotel",2
"Perfect, thats all I need",Great Do you have a valid ID to check in,1
"Yes, I do",Great Ill need to get a photocopy of it at the front desk when you check in Is there anything else I can help you with,3
"Yes, what is the checkout time",Our hotel checkout time is 1200 pm Is there anything else I can help you with,4
"No, thats it Thank you for all your help",Youre welcome We look forward to seeing you soon at Lihao Hotel Have a great day,1
Good afternoon I would like to inquire of a room in Lihao Hotel,"Absolutely We are delighted to have you as our guest Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We have many room types available which include Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom The checkin and checkout time is 3pm to 12pm respectively",4
Could you please tell me the prices for each room type,"Of course The Comfort Standard Room and Comfort Single Room are both 108rmb Likewise, the Business Duplex Standard Room and Business Duplex King Room are also 108rmb respectively The Executive Business Standard King Room is 128rmb and the Fashionable Smart Standard Room and Fashionable Smart King Room are priced at 158rmb The Leisure Duplex Chess Room and Leisure Duplex Chess Room are both 200rmb and the Diversified Smart Film Rom is 400rmb",4
Perfect What other amenities do you offer,"We offer a complimentary breakfast from 930am to 1030am For your convenience, our hotel also provides a gym, as well as free WiFi with a password that can be provided using your room number Additionally, we are close to a variety of amenities such as supermarkets, cinemas and markets All of our rooms come equipped with air conditioners, washing machines, hair dryers, television sets, and electric kettles We also have free parking available near the hotel",1
That sounds great I will take a Comfort Standard Room for one night,Wonderful Please provide the necessary information for checkin and your payment method,1
Good morning Im looking to book a room for the day,Good morning Welcome to Lihao Hotel How can I help you,4
"Yeah, Id like to know more information about the rooms and the amenities available at the hotel","Certainly We have a variety of rooms ranging from Comfort Standard Room, Comfort Single Room, Business Duplex Standard, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Rom and many other We also provide some amenities like air conditioner, washing machine, hair dryer, television, electric kettle and free parking etc",1
That sounds great I would like to book a Fashionable Smart King room for today Is the room available,"Yes, it is available Are you interested in breakfast as well Breakfast is from 930 am to 1030 pm",1
"Yes, I would like that What is the rate for the room",The rate for the Fashionable Smart King Room is 158RMB for the day,3
Ok Ill take it How about check in and check out time,"Sure Checkin time is 300 pm and checkout time is 1200 pm If you need more time, an extra fee applies",3
"Sure, Ill check out by 1200 pm Do you offer WiFi","Yes, we offer free WiFi The password is the same as your room number",4
Is there a gym or any other nearby amenities,"Yes We do have a gym for our guests And if you are looking for amenities, theres a supermarket, cinema, and market near the hotel",1
Perfect Id like to reserve the room,Wonderful Please provide your personal details and a form of payment Our front desk telephone number is 1234567789 We look forward to having you as our guest,1
"Good morning, Id like to know more about your hotel and make a booking","Sure Were located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have different types of rooms like Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom All the rooms come with airconditioner, Washing Machine, Hair Dryer, Television, An electric kettle and more",4
Sounds great What is the price range for these rooms,"Theres a wide price range depending on the room choice Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb",4
Are there any other amenities available in the hotel,"Of course, we have a wide range of amenities Theres a 930am to 1030am breakfast service available, WiFi is available with the password being the room number, we also have a gym for guest use and a supermarket, cinema, and markets nearby Free parking is available near the hotel for drivers",3
That sounds great What are the checkin and checkout times,Our checkin time is 300pm and checkout time is 1200pm,1
Perfect Is it possible to make a reservation now,"Sure, we can easily make a reservation for you What type of room and checkin date were you interested in",4
"Hi, Im looking for a hotel to stay, and I heard about Lihao Hotel Could you please tell me more about it","Certainly Lihao Hotel is located at 186 Zhuluo East Road and is just next to the fruit market and across from Futian Garden Our checkin and checkout times are 300 pm and 1200 pm respectively Additionally, we have various room types like Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room and so on with prices ranging from 108rmb to 400rmb",4
Do you have any complimentary amenities,"Sure thing Along with the room, you get free WiFi, with the password being the room number We also provide complimentary breakfast from 930 am to 1030 am Additionally, we have a gym available for guests to enjoy Furthermore, we have several nearby amenities like supermarkets, cinemas, and markets",4
Does the hotel provide air conditioning and washing machine,"Yes, of course Every room comes with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle",4
Do you provide free parking,Yes We provide free parking near the hotel,1
Thats great Could you please book a room for me,"Absolutely, which type of room would you like to book",4
"Hello, Im interested in checking into your Lihao Hotel Could you tell me more about it","Absolutely Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden For checkin and checkout times, we offer 300 pm checkin, and a 1200 pm checkout time For more details, you can reach us on our front desk telephone number, 1234567789",4
"Great, thanks Could you tell me more about the room types","Certainly We offer a variety of different room types including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room Prices range from 108rmb to 400rmb",4
What other amenities do you offer,"We offer breakfast from 930 am to 1030 am, a gym for our guests, WiFi with the password being the room number, nearby amenities such as a supermarket, a cinema, and a market We also offer air conditioning, a washing machine, a hair dryer, a television and an electric kettle And we provide free parking near the hotel",1
Thats really great I think I would like to book a room here,"Wonderful If you have any additional questions, dont hesitate to ask",3
Hi there,Hello and welcome How can I help you today,4
I am looking for a hotel in the area and I just saw Lihao Hotel Can you tell me more about it,"Yes, Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We offer many different room types to choose from, with Comfort Standard Room and Comfort Single Room at 108rmb, Business Duplex Standard Room and Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room and Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, and Diversified Smart Film Rom at 400rmb We also have air conditioner, washing machine, hair drier, television, and electric kettle in all rooms Breakfast is available from 930am to 1030am, and we have a gym, a supermarket, a cinema, and a market nearby We also have a WiFi access with the password being the room number and free parking just outside the hotel",3
That sounds great What is the checkin and checkout time for the hotel,The checkin time is at 300 pm and the checkout time is at 1200 pm Is there anything else I can help you with,4
"No, thats all I need to know Thank you so much for your help",Youre welcome Im glad I could help Have a nice day,1
"Hello, Id like to make a reservation for four people at your Lihao Hotel",Sure Id be more than happy to help you with that What is the date and time of your stay,3
"Wed like to stay on February 17th, check in at 3 pm and check out at 12 pm the next day","Alright, lets get started Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden What type of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room",1
Id like to go with the Executive Business Standard King Room,The Executive Business Standard King Room is 128rmb per night Is that the one you would like to stay in,4
"Yes, that is the one Id like to stay in","Great Ill reserve 4 of these rooms for you There are other amenities that you might like to know Breakfast is available from 930 am to 1030 am We also have a gym that is available for guests WiFi is available, with the password being the room number There is also a supermarket, cinema and market nearby The air conditioner, washing machine, hair dryer, television, and electric kettle are available in all rooms There is also free parking available near the hotel",4
That sounds great Is there anything else I should know,"No, thats all the information you need to know We look forward to seeing you soon at Lihao Hotel Please do not hesitate to contact us on our front desk telephone number 1234567789 if you have any questions Thank you for your reservation",1
Good morning Im interested in booking a room for tonight at your hotel Lihao Hotel,"Good morning Great Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 3 PM and checkout time is 12 PM Our front desk telephone number is 1234567789 We have several room types available Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Rom is 400rmb Breakfast is available from 930 am to 1030 am We have a gym available for our guests, WiFi access with the password being the room number, and other nearby amenities such as a supermarket, cinema, and market All rooms have airconditioners, washing machines, hair dryers, televisions, and electric kettles Free parking is also available near the hotel",1
"That sounds great Im going for the Comfort Standard Room, and Ill need it for just one night",Excellent Is there anything else I can help you with,4
"Yes, one more thing  do you provide shuttle service to the airport ","Yes, we offer shuttle service to the airport and other nearby locations at an additional cost Please let us know your pickup and dropoff locations, and we will be happy to arrange the service for you",1
"Hi, Id like to know more information about the Lihao Hotel","Hi there Im glad youre interested in the Lihao Hotel Its a popular destination near the fruit market in Zhangluo East Road, adjacent to Futian Garden Our checkin and checkout times are 3 pm and 12 pm respectively We have a wide range of room types to choose from, including Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, and Diversified Smart Film Room for 400rmb",4
Yes What are the nearby amenities,"Sure We have a supermarket, cinema, and market nearby that you can easily access from the hotel Is there anything else I can help you with",1
"Good afternoon, Id like to make a reservation at your hotel","Hi there, welcome to Lihao Hotel Wed be delighted to host you here Please can you provide us with some details",1
"Sure I would like a room for one night, and I would like to check in at 3 pm on the day of reservation","Great Which type of room would you like to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Rom available",1
"Id like to book the Comfort Standard Room, please","Sure, thats no problem The Comfort Standard Room is priced at 108rmb and includes a variety of amenities such as air conditioner, a washing machine, a hair dryer, a television, and an electric kettle Free parking is available near the hotel and other nearby amenities include a supermarket, cinema, and a market In addition, breakfast is served from 930 am to 1030 am and we also have a gym which is available for guests WiFi is also available, with the password being the room number",1
That sounds perfect Id like to go ahead and book the room,Great Please provide us with your name and contact information and well have everything ready for you Our checkout time is 1200 pm,1
"No problem, Ill provide the details","Perfect We look forward to having you stay with us If you have any further questions, please do not hesitate to get in touch Thanks for choosing Lihao Hotel",1
"Hi, Id like to book a room",Hi there Welcoome to Lihao Hotel How can I help you,1
Id like to book a room with two beds and a private bathroom,"Absolutely We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room as room type The price for each type is different, For example, Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb and so on Besides, all rooms have air conditioner, a washing machine, a hairdryer, a television, and an electric kettle Do you want to book one of those",1
"Sure, Id like to book the Comfort Standard Room","Great, we have that room available I can book it for you Can you please confirm your checkin and checkout times",3
Id like to check in at 3pm and check out at 12pm,"Ok, Ive got that How many nights would you like to stay",3
Three nights please,"Sure, that isnt a problem I just need a few details from your ID Are you able to provide those",4
Certainly,"Fantastic Ill have your room ready for you upon checkin Please feel free to take advantage of all the amenities available, including the gym, the WiFi with the password on the room, the supermarket, the cinema, and the market that are all nearby You can also park for free near the hotel Breakfast is served from 930 am to 1030 am Will there be anything else I can help you with",1
"Good morning, Im interested in booking a room for the night",Good morning Welcome to Lihao Hotel How may I help you,1
"Id like to know what room types you have available, and the cost for each","We have various room types available The Comfort Standard Room is 108rmb per night, the Comfort Single Room is 108rmb per night, the Business Duplex Standard Room is 108rmb per night, the Business Duplex King Room is 108rmb per night, the Executive Business Standard King Room is 128rmb per night, the Fashionable Smart Standard Room is 158rmb per night The Fashionable Smart King Room is 158rmb per night, the Leisure Duplex Chess Room is 200rmb per night, and the Diversified Smart Film Room is 400rmb per night",4
"Do all of the rooms have air conditioning, a washing machine, a hair dryer, a television, and an electric kettle","Yes, all of our rooms are fully equipped with air conditioning, a washing machine, a hairdryer, a television, and an electric kettle",3
What time is checkin and checkout,Checkin is at 3pm and checkout is at 12pm Is there anything else I can help you with,4
What other amenities does the hotel offer,"We have a complimentary breakfast from 930am to 1030amWe also have a gym and free WiFi with the password being the room number You are also just minutes away from supermarkets, cinemas, and markets",4
Does the hotel offer free parking,"Yes, we do have free parking available near the hotel",1
"Good morning, Im looking to book a room at the Lihao Hotel","Good morning, glad to have you at Lihao Hotel How can I help you",1
"Yes, Id like to book a Comfort Single Room What are the checkin and checkout times And what are the rates",Sure The check in time is 3 pm and check out time is 12 pm The rate for the Comfort Single Room is 108 rmb,4
And is there any other amenities that are available,"Sure, we offer free WiFi with the password being your room number We also have free parking and a gym available for our guests We have a supermarket, cinema and market nearby In addition, we also provide an air conditioner, washing machine, hairdryer, television, and electric kettle in each room all for free",4
What about breakfast,"Yeah, we offer breakfast from 930am  1030am",1
Sounds great I would like to go ahead and book the room then,Wonderful May I have a few details from your end to proceed with seating,1
Hi I need to book a room at your Lihao Hotel,"Hi there, welcome to Lihao Hotel How can I help you",1
I would like to book a room for two people for tomorrow What are your rates,"Sure We have several room types available We have Comfort Standard Rooms for 108RMB, Comfort Single Rooms for 108RMB, Business Duplex Standard Rooms for 108RMB, Business Duplex King Rooms for 118RMB, Executive Business Standard King Rooms for 128RMB, Fashionable Smart Standard Rooms for 158RMB, Fashionable Smart King Rooms for 158RMB, Leisure Duplex Chess Room for 200RMB and Diversified Smart Film Room for 400RMB Which type would you like to book",1
I would like to book one of the Fashionable Smart King Rooms for two people,Sure Thats 158 RMB per night Do you want to check in tomorrow,4
"Yes, thats correct Is breakfast included with the room","Yes, breakfast is from 930am to 1030am Does that work for you",4
"Yes, thats perfect Do you have any additional amenities available","Yes, we have a gym, WiFi with the password being the room number, and a supermarket, cinema, and market nearby We also have air conditioners, washing machines, hair dryers, and TVs with electric kettles in all of our rooms, and free parking is available near the hotel",3
Great What time is checkin and checkout,Checkin is at 3pm and checkout is at 12pm,1
"Ok, great Ill book the Fashionable Smart King Room for tomorrow",Excellent Is there anything else I can help you with,1
"Hi, Id like to make a reservation","Hi, welcome to Lihao Hotel How may I help you",1
Id like to book a room for tonight,"Sure, what type of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom",1
Ill go for the Comfort Standard Room please,Alright The Comfort Standard Room is 108rmb per night Is that okay,4
"Yes, thats great",Can I have your name please,1
My name is John Smith,"Great Can I have your contact number and address, please",4
"Sure My contact number is 9998887777, and my address is 1234 Main Street, Anytown, USA",Perfect Let me just double check the details Thats a Comfort Standard Room for one night Is that correct,3
"Yes, thats correct","Okay Before I confirm your reservation, do you have any additional questions regarding the hotel or the amenities",4
"Yes What time is checkin and checkout Also, do you offer free WiFi and is there free parking","Sure Checkin is at 300 pm and checkout is at 1200 pm We offer free WiFi and the password is your room number Free parking is also available near the hotel Additionally, we offer breakfast from 930 am to 1030 am There is also a gym available for guests Also, all rooms are equipped with air conditioning, a television, a washing machine, a hair dryer, and an electric kettle",4
Great Thats all I need to know,Perfect Please let me know once you arrive and I will be happy to assist you Thank you for choosing Lihao Hotel,1
"Hello, I would like to make a reservation at your Lihao Hotel","Hi, how can I help you today",1
I would like to book a room for two nights,"Sure, do you have any preferences in terms of room type",1
"Yes, I would like to stay in a Comfort Standard Room","Great, we do have Comfort Standard Rooms available Can I have the checkin and checkout dates please",3
"The checkin date will be tomorrow in the afternoon at 3pm, and checkout date the day after tomorrow at 12pm","Perfect, we will have the room ready for you then Is there anything else I can help you with",4
"Yes, I would like to know about the amenities your hotel offers","Sure We offer complimentary WiFi throughout the hotel The password to connect is your room number We also have an onsite gym, as well as a supermarket, cinema, and market all nearby Youll also be provided with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle in the room Lastly, we have free parking available near the hotel",4
That sounds great What about breakfast,Breakfast is served every day from 930 am to 1030 am,1
"great, I will book my room now Can I please have the address and telephone number of the hotel","Sure The address is 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The telephone number is 1234567789",1
"Perfect, thank you",Youre welcome Have a great stay,1
"Hello, Id like to make a reservation",Thanks for contacting Lihao Hotel How can I help you,1
I am looking for a room for tonight that has air conditioning,"We have several room types available at Lihao Hotel locted at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden All of our rooms come with air conditioning Do you have a preference in room type",1
Yes I do Can you tell me what type of rooms are available and what the nightly rate is,"Certainly We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb and Diversified Smart Film Room for 400rmb All rooms come with a television, electric kettle, washing machine, hair dryer and WiFi The WiFi password is the room number Is there anything else I can help you with",3
"What time do checkin and checkout times Also, do you have a gym and free parking","Checkin time is 300 pm and checkout time is 1200 pm We do offer a gym and free parking near the hotel Also, we provide breakfast from 930 am to 1030 am, and there are several amenities nearby such as supermarkets, a cinema, and a market Is there anything else I can help you with",1
"No, thats all I think I am ready to make my reservation",GREAT What day would you like to checkin,4
Today,We would love to have you with us today Please provide us with your name and contact details and we will take care of the rest The front desk telephone number is 1234567789,4
Sure My name is Ryan and my number is 1234567890,Thanks Ryan Your reservation is all set We look forward to welcoming you to Lihao Hotel Have a great day,1
"Hello, I am interested in reserving a room at Lihao Hotel","Hi there Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several different room types, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room Prices range from 108rmb to 400rmb Is there any specific room type you are interested in",1
"Yes, Im interested in the Executive Business Standard King Room","Absolutely That room is 128rmb per night Checkin is at 300 pm and checkout is at 1200 pm You can also take advantage of our complimentary breakfast from 930 am to 1030 am The gym and free WiFi are also available for guest usage You can use your room number as the password for the WiFi Additionally, there are several nearby amenities, including a supermarket, cinema, and market",4
"What about air conditioner, washing machine, hair dryer, television, and electric kettle","We do provide all of those amenities There is air conditioning, a washing machine, a hair dryer, a television, and an electric kettle in every room Also, we provide complimentary free parking near the hotel",1
That sounds great Can I make the reservation now,"Absolutely Our front desk telephone number is 1234567789 You can call to make your reservation or you can book online If you have any more questions, please feel free to reach out Thank you for choosing Lihao Hotel",1
"Hello, Id like to make a reservation for one night","Hi Welcome to Lihao Hotel You are looking to stay for one night, correct Can I have your name and contact information, please",4
"Sure, my name is John Smith and my contact number is 1234567890","Great, thank you for your information We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have various room types like Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom What kind of room would you like",1
"Id like a Comfort Single Room, please","Sure, we have a Comfort Single Room available for you Its 108rmb per night Would you like to book it now",1
"Yes, please","Alright, great Could I have your credit card information and ID number, please",3
"Sure, here it is","Perfect Im happy to confirm that your reservation has been made Checkin is available from 3 pm and checkout is at 12 pm Our hotel offers various amenities like WiFi, Parking available near the hotel, Gym available to guests, Air Conditioner, Hair dryer, Washing Machine, Electric Kettle and Televisions Breakfast is served from 930 am to 1030 amPlease note that the WiFi password is your room number Are there any other questions that I can answer",4
"Yes, what types of amenities are nearby the hotel Supermarket, cinema or market","Yes, there is a nearby supermarket, cinema and market for your convenience",3
"Perfect, thank you Thats all I need to know",Wonderful We look forward to seeing you soon Please let us know if you need anything else Have a great day,1
"Hi, Id like to make a reservation at Lihao Hotel","Of course, we would be delighted to have you as our guest Before we begin, please allow me to introduce myself Im John, your hotel agent Now, what kind of room would you like to book",1
I would like to book a Comfort Single Room,"Great The Comfort Single Room is available for 108rmb per night Do you need any special services or amenities, such as breakfast, AC, WiFi, washing machine, hair dryer, television, electric kettle, parking, etc",1
"Yes, I would like to know if you provide some basic amenities such as free WiFi, AC, washing machine and hair dryer","Absolutely All our rooms come with complimentary WiFi, AC, a washing machine and a hair dryer Plus, we also have a selection of other amenities available on request Is there anything else I can help you with",3
What time is the checkin and checkout time,Checkin time is at 3 pm and checkout time is 12 pm sharp We recommend you arrive at the hotel a few minutes before 3 pm to ensure a smooth checkin process,4
"I see What about nearby amenities, like supermarkets, cinemas, etc","You would definitely be spoilt for choice There is a supermarket, cinema and market all within walking distance of the hotel",4
Do you have any additional services such as a gym or leisure facilities,We do We have a gym available for guests as well as a Leisure Duplex Chess Room for those looking for something a bit more unique,4
Perfect Can I get the front desk telephone number just in case I need help,Sure The front desk telephone number is 1234567789 Please dont hesitate to contact us if you have any questions or need any help during your stay,1
"Hi, I would like to make a reservation at the Lihao Hotel","Hi there Wed love to have you at the Lihao Hotel What kind of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room The prices for each room range from 108RMB to 400RMB",1
Id like to stay in an Executive Business Standard King Room,"Okay, that is 128RMB per night What dates were you considering for your stay",1
Ill be arriving on 8th March and leaving on 12th March,"Great, let me check if we have availability for those dates Yes, we do Can I have your full name and contact details please",1
"Yes, sure My name is Robert Smith and my contact number is 44 63756885","Perfect, I have reserved an Executive Business Standard King Room for you at our Lihao Hotel from 8th March until 12th March",3
"Great, thank you Can you give me a brief overview of the hotel","Sure The Lihao Hotel is located at 186 Zhuluo East road, next to the fruit market and across from Futian Garden It offers a variety of amenities including air conditioner, washing machine, hair dryer and television Guests can enjoy free WiFi with a password being the same as the room number Breakfast is served from 930 am to 1030 am and the gym is available for guests Free parking is also available near the hotel Checkin time is 300 pm and checkout time is 1200 pm Our front desk telephone number is 1234567789",4
That sounds great Is it possible to checkin earlier than 300 pm,"Unfortunately, checkin time is set at 300 pm and we cant make exceptions However, if you arrive earlier, we will store your luggage and you can use the hotel amenities",1
Good afternoonI am interested in booking a room in Lihao Hotel Can you give me more information,"Sure Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is 300 pm and checkout time is 1200 pm  We offer a variety of room types which includes Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Rom, etc All of them come with air conditioning, washing machine, hair dryer, television, electric kettle and free WiFi The WiFi password is the room number Breakfast is available from 930 am to 1030 am and there is a gym available for guests There is also free parking near the hotel, supermarket, cinema and market nearby",1
"Great,I would like to book a Business Duplex Standard Room","No problem The rate for a Business Duplex Standard Room is 108rmb per night Would you like to book it now, or do you have any other questions",3
